timestamp,rtt_ms,jitter_ms,packet_loss
2026-06-10T10:00:00.000Z,26.22,2.27,0.0
2026-06-10T10:00:00.100Z,20.84,1.28,0.0
2026-06-10T10:00:00.200Z,28.0,2.32,0.0
2026-06-10T10:00:00.300Z,28.76,1.56,0.0
2026-06-10T10:00:00.400Z,17.2,2.71,0.0
2026-06-10T10:00:00.500Z,19.79,0.96,0.0
2026-06-10T10:00:00.600Z,25.51,3.19,0.0
2026-06-10T10:00:00.700Z,23.74,1.85,0.0
2026-06-10T10:00:00.800Z,24.93,2.7,0.0
2026-06-10T10:00:00.900Z,21.59,3.0,0.0
2026-06-10T10:00:01.000Z,28.52,3.5,0.0
2026-06-10T10:00:01.100Z,28.11,0.94,0.0
2026-06-10T10:00:01.200Z,25.26,1.15,0.0
2026-06-10T10:00:01.300Z,29.51,1.03,0.0
2026-06-10T10:00:01.400Z,26.87,1.07,0.0
2026-06-10T10:00:01.500Z,21.56,2.12,0.0
2026-06-10T10:00:01.600Z,26.48,3.48,0.0
2026-06-10T10:00:01.700Z,21.16,3.47,0.0
2026-06-10T10:00:01.800Z,28.51,1.94,0.0
2026-06-10T10:00:01.900Z,24.8,2.31,0.0
2026-06-10T10:00:02.000Z,24.26,3.04,0.0
2026-06-10T10:00:02.100Z,22.28,3.28,0.0
2026-06-10T10:00:02.200Z,29.89,0.87,0.0
2026-06-10T10:00:02.300Z,24.38,1.94,0.0
2026-06-10T10:00:02.400Z,23.29,2.95,0.0
2026-06-10T10:00:02.500Z,23.59,1.2,0.0
2026-06-10T10:00:02.600Z,27.13,1.65,0.0
2026-06-10T10:00:02.700Z,26.46,3.45,0.0
2026-06-10T10:00:02.800Z,26.65,3.45,0.0
2026-06-10T10:00:02.900Z,26.72,3.19,0.0
2026-06-10T10:00:03.000Z,33.57,2.83,0.0
2026-06-10T10:00:03.100Z,23.37,1.09,0.0
2026-06-10T10:00:03.200Z,22.95,1.26,0.0
2026-06-10T10:00:03.300Z,21.74,2.01,0.0
2026-06-10T10:00:03.400Z,27.46,2.05,0.0
2026-06-10T10:00:03.500Z,29.52,1.87,0.0
2026-06-10T10:00:03.600Z,24.54,2.3,0.0
2026-06-10T10:00:03.700Z,21.64,1.55,0.0
2026-06-10T10:00:03.800Z,21.7,2.67,0.0
2026-06-10T10:00:03.900Z,27.6,1.3,0.0
2026-06-10T10:00:04.000Z,27.97,1.29,0.0
2026-06-10T10:00:04.100Z,27.17,0.62,0.0
2026-06-10T10:00:04.200Z,22.34,0.82,0.0
2026-06-10T10:00:04.300Z,25.93,3.01,0.0
2026-06-10T10:00:04.400Z,25.47,1.67,0.0
2026-06-10T10:00:04.500Z,25.87,0.95,0.0
2026-06-10T10:00:04.600Z,28.49,2.71,0.0
2026-06-10T10:00:04.700Z,25.89,2.03,0.0
2026-06-10T10:00:04.800Z,27.72,0.27,0.0
2026-06-10T10:00:04.900Z,25.27,1.24,0.0
2026-06-10T10:00:05.000Z,26.16,0.78,0.0
2026-06-10T10:00:05.100Z,27.53,2.36,0.0
2026-06-10T10:00:05.200Z,19.17,1.11,0.0
2026-06-10T10:00:05.300Z,23.72,0.41,0.0
2026-06-10T10:00:05.400Z,23.12,0.38,0.0
2026-06-10T10:00:05.500Z,22.44,2.12,0.0
2026-06-10T10:00:05.600Z,23.9,0.27,0.0
2026-06-10T10:00:05.700Z,30.98,3.0,0.0
2026-06-10T10:00:05.800Z,21.54,0.71,0.0
2026-06-10T10:00:05.900Z,28.87,2.2,0.0
2026-06-10T10:00:06.000Z,18.27,1.67,0.0
2026-06-10T10:00:06.100Z,23.66,1.66,0.0
2026-06-10T10:00:06.200Z,25.65,0.44,0.0
2026-06-10T10:00:06.300Z,27.34,2.85,0.0
2026-06-10T10:00:06.400Z,27.84,3.15,0.0
2026-06-10T10:00:06.500Z,28.17,0.24,0.0
2026-06-10T10:00:06.600Z,23.61,0.79,0.0
2026-06-10T10:00:06.700Z,23.15,3.18,0.0
2026-06-10T10:00:06.800Z,28.43,2.01,0.0
2026-06-10T10:00:06.900Z,24.23,0.7,0.0
2026-06-10T10:00:07.000Z,19.9,0.87,0.0
2026-06-10T10:00:07.100Z,20.47,2.38,0.0
2026-06-10T10:00:07.200Z,21.32,2.59,0.0
2026-06-10T10:00:07.300Z,26.99,2.18,0.0
2026-06-10T10:00:07.400Z,25.57,3.35,0.0
2026-06-10T10:00:07.500Z,27.76,1.83,0.0
2026-06-10T10:00:07.600Z,23.29,1.19,0.0
2026-06-10T10:00:07.700Z,25.63,1.77,0.0
2026-06-10T10:00:07.800Z,27.5,1.39,0.0
2026-06-10T10:00:07.900Z,23.76,0.94,0.0
2026-06-10T10:00:08.000Z,26.83,0.35,0.0
2026-06-10T10:00:08.100Z,22.35,1.36,0.0
2026-06-10T10:00:08.200Z,23.55,2.55,0.0
2026-06-10T10:00:08.300Z,23.47,0.26,0.0
2026-06-10T10:00:08.400Z,20.22,1.65,0.0
2026-06-10T10:00:08.500Z,26.95,2.33,0.0
2026-06-10T10:00:08.600Z,23.12,2.21,0.0
2026-06-10T10:00:08.700Z,25.05,2.76,0.0
2026-06-10T10:00:08.800Z,26.92,2.87,0.0
2026-06-10T10:00:08.900Z,26.79,2.55,0.0
2026-06-10T10:00:09.000Z,27.66,0.54,0.0
2026-06-10T10:00:09.100Z,24.61,1.77,0.0
2026-06-10T10:00:09.200Z,23.31,2.19,0.0
2026-06-10T10:00:09.300Z,24.68,1.01,0.0
2026-06-10T10:00:09.400Z,18.25,0.34,0.0
